year,value,source,state-name,fuel-name
2017.0,0.432057,Filtered Data (2017-2020),,
2017.0,1.279542,Filtered Data (2017-2020),,
2017.0,1.711599,Filtered Data (2017-2020),,
2017.0,33.860382,Filtered Data (2017-2020),,
2017.0,0.239736,Filtered Data (2017-2020),,
2017.0,20.633497,Filtered Data (2017-2020),,
2017.0,12.98715,Filtered Data (2017-2020),,
2017.0,3.908133,Filtered Data (2017-2020),,
2017.0,2.635712,Filtered Data (2017-2020),,
2017.0,6.543844,Filtered Data (2017-2020),,
2017.0,1.06394,Filtered Data (2017-2020),,
2017.0,2.857881,Filtered Data (2017-2020),,
2017.0,3.921821,Filtered Data (2017-2020),,
2017.0,15.107785,Filtered Data (2017-2020),,
2017.0,0.306349,Filtered Data (2017-2020),,
2017.0,15.414134,Filtered Data (2017-2020),,
2017.0,0.239736,Filtered Data (2017-2020),,
2017.0,0.121582,Filtered Data (2017-2020),,
2017.0,5.907666,Filtered Data (2017-2020),,
2017.0,6.268984,Filtered Data (2017-2020),,
2017.0,5.385786,Filtered Data (2017-2020),,
2017.0,7.923585,Filtered Data (2017-2020),,
2017.0,0.459391,Filtered Data (2017-2020),,
2017.0,13.768762,Filtered Data (2017-2020),,
2017.0,3.693215,Filtered Data (2017-2020),,
2017.0,1.585155,Filtered Data (2017-2020),,
2017.0,2.10806,Filtered Data (2017-2020),,
2017.0,2.943947,Filtered Data (2017-2020),,
2017.0,2.461796,Filtered Data (2017-2020),,
2017.0,0.02276,Filtered Data (2017-2020),,
2017.0,0.459391,Filtered Data (2017-2020),,
2017.0,5.360442,Filtered Data (2017-2020),,
2017.0,0.048201,Filtered Data (2017-2020),,
2017.0,5.312241,Filtered Data (2017-2020),,
2017.0,0.944601,Filtered Data (2017-2020),,
2017.0,0.741904,Filtered Data (2017-2020),,
2017.0,0.202697,Filtered Data (2017-2020),,
2017.0,0.826557,Filtered Data (2017-2020),,
2017.0,0.54873,Filtered Data (2017-2020),,
2017.0,0.277827,Filtered Data (2017-2020),,
2017.0,0.962934,Filtered Data (2017-2020),,
2017.0,1.619416,Filtered Data (2017-2020),,
2017.0,2.58522,Filtered Data (2017-2020),,
2017.0,0.01973,Filtered Data (2017-2020),,
2017.0,0.01973,Filtered Data (2017-2020),,
2017.0,0.963328,Filtered Data (2017-2020),,
2017.0,0.083227,Filtered Data (2017-2020),,
2017.0,0.8801,Filtered Data (2017-2020),,
2017.0,0.940714,Filtered Data (2017-2020),,
2017.0,0.881798,Filtered Data (2017-2020),,
2017.0,0.056046,Filtered Data (2017-2020),,
2017.0,0.00287,Filtered Data (2017-2020),,
2017.0,0.661449,Filtered Data (2017-2020),,
2017.0,0.654391,Filtered Data (2017-2020),,
2017.0,0.007058,Filtered Data (2017-2020),,
2017.0,0.00287,Filtered Data (2017-2020),,
2017.0,74.958229,Filtered Data (2017-2020),,
2017.0,0.816031,Filtered Data (2017-2020),,
2017.0,1.213889,Filtered Data (2017-2020),,
2017.0,3.586689,Filtered Data (2017-2020),,
2017.0,3.350261,Filtered Data (2017-2020),,
2017.0,6.93695,Filtered Data (2017-2020),,
2017.0,114.059002,Filtered Data (2017-2020),,
2017.0,1.155978,Filtered Data (2017-2020),,
2017.0,115.21498,Filtered Data (2017-2020),,
2017.0,37.616279,Filtered Data (2017-2020),,
2017.0,1.414115,Filtered Data (2017-2020),,
2017.0,64.213798,Filtered Data (2017-2020),,
2017.0,103.244192,Filtered Data (2017-2020),,
2017.0,1.354182,Filtered Data (2017-2020),,
2017.0,5.050245,Filtered Data (2017-2020),,
2017.0,5.422161,Filtered Data (2017-2020),,
2017.0,11.826588,Filtered Data (2017-2020),,
2017.0,238.436599,Filtered Data (2017-2020),,
2017.0,38.970461,Filtered Data (2017-2020),,
2017.0,124.507909,Filtered Data (2017-2020),,
2017.0,0.397858,Filtered Data (2017-2020),,
2017.0,37.22811,Filtered Data (2017-2020),,
2017.0,6.051052,Filtered Data (2017-2020),,
2017.0,6.497418,Filtered Data (2017-2020),,
2017.0,1.744807,Filtered Data (2017-2020),,
2017.0,2.675712,Filtered Data (2017-2020),,
2017.0,4.420519,Filtered Data (2017-2020),,
2017.0,65.60046,Filtered Data (2017-2020),,
2017.0,0.479365,Filtered Data (2017-2020),,
2017.0,66.079825,Filtered Data (2017-2020),,
2017.0,32.121667,Filtered Data (2017-2020),,
2017.0,0.081365,Filtered Data (2017-2020),,
2017.0,20.201673,Filtered Data (2017-2020),,
2017.0,52.404705,Filtered Data (2017-2020),,
2017.0,0.799399,Filtered Data (2017-2020),,
2017.0,3.815594,Filtered Data (2017-2020),,
2017.0,7.820309,Filtered Data (2017-2020),,
2017.0,12.435302,Filtered Data (2017-2020),,
2017.0,141.83777,Filtered Data (2017-2020),,
2017.0,32.921066,Filtered Data (2017-2020),,
2017.0,71.688594,Filtered Data (2017-2020),,
2017.0,0.446366,Filtered Data (2017-2020),,
2017.0,0.160024,Filtered Data (2017-2020),,
2017.0,0.029524,Filtered Data (2017-2020),,
2017.0,0.06607,Filtered Data (2017-2020),,
2017.0,0.391554,Filtered Data (2017-2020),,
2017.0,0.12619,Filtered Data (2017-2020),,
2017.0,0.517745,Filtered Data (2017-2020),,
2017.0,12.02067,Filtered Data (2017-2020),,
2017.0,0.000106,Filtered Data (2017-2020),,
2017.0,12.020775,Filtered Data (2017-2020),,
2017.0,1.429427,Filtered Data (2017-2020),,
2017.0,4.856368,Filtered Data (2017-2020),,
2017.0,6.285796,Filtered Data (2017-2020),,
2017.0,1.538029,Filtered Data (2017-2020),,
2017.0,0.004205,Filtered Data (2017-2020),,
2017.0,1.542234,Filtered Data (2017-2020),,
2017.0,20.43262,Filtered Data (2017-2020),,
2017.0,1.429427,Filtered Data (2017-2020),,
2017.0,18.843168,Filtered Data (2017-2020),,
2017.0,0.036546,Filtered Data (2017-2020),,
2017.0,0.249872,Filtered Data (2017-2020),,
2017.0,1.094338,Filtered Data (2017-2020),,
2017.0,1.902774,Filtered Data (2017-2020),,
2017.0,3.246984,Filtered Data (2017-2020),,
2017.0,18.702797,Filtered Data (2017-2020),,
2017.0,0.249872,Filtered Data (2017-2020),,
2017.0,12.405393,Filtered Data (2017-2020),,
2017.0,6.047532,Filtered Data (2017-2020),,
2017.0,0.312487,Filtered Data (2017-2020),,
2017.0,1.593596,Filtered Data (2017-2020),,
2017.0,1.906084,Filtered Data (2017-2020),,
2017.0,0.351977,Filtered Data (2017-2020),,
2017.0,1.09439,Filtered Data (2017-2020),,
2017.0,1.446368,Filtered Data (2017-2020),,
2017.0,10.64659,Filtered Data (2017-2020),,
2017.0,0.32746,Filtered Data (2017-2020),,
2017.0,10.97405,Filtered Data (2017-2020),,
2017.0,1.129311,Filtered Data (2017-2020),,
2017.0,1.129311,Filtered Data (2017-2020),,
2017.0,1.175602,Filtered Data (2017-2020),,
2017.0,54.809369,Filtered Data (2017-2020),,
2017.0,85.776569,Filtered Data (2017-2020),,
2017.0,65.393457,Filtered Data (2017-2020),,
2017.0,205.979395,Filtered Data (2017-2020),,
2017.0,35.619046,Filtered Data (2017-2020),,
2017.0,13.54322,Filtered Data (2017-2020),,
2017.0,14.339023,Filtered Data (2017-2020),,
2017.0,7.736803,Filtered Data (2017-2020),,
2017.0,65.173685,Filtered Data (2017-2020),,
2017.0,7.695548,Filtered Data (2017-2020),,
2017.0,0.044091,Filtered Data (2017-2020),,
2017.0,57.434045,Filtered Data (2017-2020),,
2017.0,69.828199,Filtered Data (2017-2020),,
2017.0,1.232697,Filtered Data (2017-2020),,
2017.0,68.595502,Filtered Data (2017-2020),,
2017.0,13.610926,Filtered Data (2017-2020),,
2017.0,11.765967,Filtered Data (2017-2020),,
2017.0,1.62235,Filtered Data (2017-2020),,
2017.0,0.222609,Filtered Data (2017-2020),,
2017.0,21.747539,Filtered Data (2017-2020),,
2017.0,20.571937,Filtered Data (2017-2020),,
2017.0,38.868812,Filtered Data (2017-2020),,
2017.0,88.460515,Filtered Data (2017-2020),,
2017.0,175.892354,Filtered Data (2017-2020),,
2017.0,42.204883,Filtered Data (2017-2020),,
2017.0,20.000048,Filtered Data (2017-2020),,
2017.0,7.393635,Filtered Data (2017-2020),,
2017.0,14.8112,Filtered Data (2017-2020),,
2017.0,81.012899,Filtered Data (2017-2020),,
2017.0,7.401897,Filtered Data (2017-2020),,
2017.0,0.084997,Filtered Data (2017-2020),,
2017.0,73.526005,Filtered Data (2017-2020),,
2017.0,39.882126,Filtered Data (2017-2020),,
2017.0,0.503227,Filtered Data (2017-2020),,
2017.0,39.378899,Filtered Data (2017-2020),,
2017.0,5.219828,Filtered Data (2017-2020),,
2017.0,4.145922,Filtered Data (2017-2020),,
2017.0,0.950596,Filtered Data (2017-2020),,
2017.0,0.12331,Filtered Data (2017-2020),,
2017.0,7.572619,Filtered Data (2017-2020),,
2017.0,6.817718,Filtered Data (2017-2020),,
2017.0,0.754901,Filtered Data (2017-2020),,
2017.0,48.563027,Filtered Data (2017-2020),,
2017.0,21.280001,Filtered Data (2017-2020),,
2017.0,3.370949,Filtered Data (2017-2020),,
2017.0,4.362066,Filtered Data (2017-2020),,
2017.0,0.266231,Filtered Data (2017-2020),,
2017.0,0.81355,Filtered Data (2017-2020),,
2017.0,2.776082,Filtered Data (2017-2020),,
2017.0,3.855863,Filtered Data (2017-2020),,
2017.0,19.781564,Filtered Data (2017-2020),,
2017.0,0.586507,Filtered Data (2017-2020),,
2017.0,20.368071,Filtered Data (2017-2020),,
2017.0,24.181689,Filtered Data (2017-2020),,
2017.0,0.051502,Filtered Data (2017-2020),,
2017.0,1.650739,Filtered Data (2017-2020),,
2017.0,25.88393,Filtered Data (2017-2020),,
2017.0,4.264354,Filtered Data (2017-2020),,
2017.0,4.67531,Filtered Data (2017-2020),,
2017.0,12.895724,Filtered Data (2017-2020),,
2017.0,21.835388,Filtered Data (2017-2020),,
2017.0,76.305319,Filtered Data (2017-2020),,
2017.0,28.712274,Filtered Data (2017-2020),,
2017.0,26.313044,Filtered Data (2017-2020),,
2017.0,0.991117,Filtered Data (2017-2020),,
2017.0,0.386076,Filtered Data (2017-2020),,
2017.0,2.97878,Filtered Data (2017-2020),,
2017.0,14.439542,Filtered Data (2017-2020),,
2017.0,23.866472,Filtered Data (2017-2020),,
2017.0,20.726614,Filtered Data (2017-2020),,
2017.0,59.032629,Filtered Data (2017-2020),,
2017.0,13.528803,Filtered Data (2017-2020),,
2017.0,7.363941,Filtered Data (2017-2020),,
2017.0,5.932094,Filtered Data (2017-2020),,
2017.0,0.232768,Filtered Data (2017-2020),,
2017.0,21.671284,Filtered Data (2017-2020),,
2017.0,1.125713,Filtered Data (2017-2020),,
2017.0,0.051724,Filtered Data (2017-2020),,
2017.0,20.493847,Filtered Data (2017-2020),,
2017.0,18.064902,Filtered Data (2017-2020),,
2017.0,1.077406,Filtered Data (2017-2020),,
2017.0,16.987496,Filtered Data (2017-2020),,
2017.0,2.402784,Filtered Data (2017-2020),,
2017.0,1.893702,Filtered Data (2017-2020),,
2017.0,0.509082,Filtered Data (2017-2020),,
2017.0,3.364856,Filtered Data (2017-2020),,
2017.0,15.419325,Filtered Data (2017-2020),,
2017.0,40.227538,Filtered Data (2017-2020),,
2017.0,61.13797,Filtered Data (2017-2020),,
2017.0,116.784834,Filtered Data (2017-2020),,
2017.0,15.037736,Filtered Data (2017-2020),,
2017.0,6.305313,Filtered Data (2017-2020),,
2017.0,6.619738,Filtered Data (2017-2020),,
2017.0,2.112684,Filtered Data (2017-2020),,
2017.0,64.051923,Filtered Data (2017-2020),,
2017.0,4.493964,Filtered Data (2017-2020),,
2017.0,0.56692,Filtered Data (2017-2020),,
2017.0,58.991039,Filtered Data (2017-2020),,
2017.0,32.481968,Filtered Data (2017-2020),,
2017.0,0.411058,Filtered Data (2017-2020),,
2017.0,32.070911,Filtered Data (2017-2020),,
2017.0,2.492735,Filtered Data (2017-2020),,
2017.0,1.81513,Filtered Data (2017-2020),,
2017.0,0.643357,Filtered Data (2017-2020),,
2017.0,0.034247,Filtered Data (2017-2020),,
2017.0,2.720472,Filtered Data (2017-2020),,
2017.0,2.39386,Filtered Data (2017-2020),,
2017.0,0.326612,Filtered Data (2017-2020),,
2017.0,87.958959,Filtered Data (2017-2020),,
2017.0,1.570369,Filtered Data (2017-2020),,
2017.0,1.680615,Filtered Data (2017-2020),,
2017.0,0.637349,Filtered Data (2017-2020),,
2017.0,1.529734,Filtered Data (2017-2020),,
2017.0,2.167083,Filtered Data (2017-2020),,
2017.0,35.722386,Filtered Data (2017-2020),,
2017.0,5.467561,Filtered Data (2017-2020),,
2017.0,41.189947,Filtered Data (2017-2020),,
2017.0,13.24305,Filtered Data (2017-2020),,
2017.0,5.026772,Filtered Data (2017-2020),,
2017.0,15.188503,Filtered Data (2017-2020),,
2017.0,33.458325,Filtered Data (2017-2020),,
2017.0,0.361192,Filtered Data (2017-2020),,
2017.0,50.340375,Filtered Data (2017-2020),,
2017.0,64.202792,Filtered Data (2017-2020),,
2017.0,114.904359,Filtered Data (2017-2020),,
2017.0,193.400328,Filtered Data (2017-2020),,
2017.0,13.604242,Filtered Data (2017-2020),,
2017.0,91.837128,Filtered Data (2017-2020),,
2017.0,0.110246,Filtered Data (2017-2020),,
2017.0,0.044432,Filtered Data (2017-2020),,
2017.0,0.419917,Filtered Data (2017-2020),,
2017.0,0.928895,Filtered Data (2017-2020),,
2017.0,1.393245,Filtered Data (2017-2020),,
2017.0,15.376722,Filtered Data (2017-2020),,
2017.0,0.20738,Filtered Data (2017-2020),,
2017.0,12.823147,Filtered Data (2017-2020),,
2017.0,2.346196,Filtered Data (2017-2020),,
2017.0,2.839256,Filtered Data (2017-2020),,
2017.0,0.150635,Filtered Data (2017-2020),,
2017.0,2.989891,Filtered Data (2017-2020),,
2017.0,1.21834,Filtered Data (2017-2020),,
2017.0,0.489259,Filtered Data (2017-2020),,
2017.0,1.707599,Filtered Data (2017-2020),,
2017.0,8.217911,Filtered Data (2017-2020),,
2017.0,0.037249,Filtered Data (2017-2020),,
2017.0,8.25516,Filtered Data (2017-2020),,
2017.0,0.162948,Filtered Data (2017-2020),,
2017.0,0.127722,Filtered Data (2017-2020),,
2017.0,0.740158,Filtered Data (2017-2020),,
2017.0,1.030828,Filtered Data (2017-2020),,
2017.0,12.309767,Filtered Data (2017-2020),,
2017.0,32.503385,Filtered Data (2017-2020),,
2017.0,10.228476,Filtered Data (2017-2020),,
2017.0,55.041627,Filtered Data (2017-2020),,
2017.0,2.920861,Filtered Data (2017-2020),,
2017.0,0.835281,Filtered Data (2017-2020),,
2017.0,0.912663,Filtered Data (2017-2020),,
2017.0,1.172917,Filtered Data (2017-2020),,
2017.0,11.966482,Filtered Data (2017-2020),,
2017.0,2.806928,Filtered Data (2017-2020),,
2017.0,0.103995,Filtered Data (2017-2020),,
2017.0,9.055558,Filtered Data (2017-2020),,
2017.0,29.545236,Filtered Data (2017-2020),,
2017.0,0.462486,Filtered Data (2017-2020),,
2017.0,29.08275,Filtered Data (2017-2020),,
2017.0,5.231039,Filtered Data (2017-2020),,
2017.0,4.005287,Filtered Data (2017-2020),,
2017.0,1.225752,Filtered Data (2017-2020),,
2017.0,5.378009,Filtered Data (2017-2020),,
2017.0,4.199784,Filtered Data (2017-2020),,
2017.0,1.178225,Filtered Data (2017-2020),,
2017.0,39.169199,Filtered Data (2017-2020),,
2017.0,24.359743,Filtered Data (2017-2020),,
2017.0,64.715375,Filtered Data (2017-2020),,
2017.0,3.318892,Filtered Data (2017-2020),,
2017.0,2.452199,Filtered Data (2017-2020),,
2017.0,0.856851,Filtered Data (2017-2020),,
2017.0,0.009842,Filtered Data (2017-2020),,
2017.0,10.274493,Filtered Data (2017-2020),,
2017.0,8.882848,Filtered Data (2017-2020),,
2017.0,0.215055,Filtered Data (2017-2020),,
2017.0,1.176591,Filtered Data (2017-2020),,
2017.0,31.411622,Filtered Data (2017-2020),,
2017.0,0.456296,Filtered Data (2017-2020),,
2017.0,30.955326,Filtered Data (2017-2020),,
2017.0,7.34196,Filtered Data (2017-2020),,
2017.0,5.965126,Filtered Data (2017-2020),,
2017.0,1.376834,Filtered Data (2017-2020),,
2017.0,12.368408,Filtered Data (2017-2020),,
2017.0,6.603274,Filtered Data (2017-2020),,
2017.0,5.765134,Filtered Data (2017-2020),,
2017.0,1.186432,Filtered Data (2017-2020),,
2017.0,47.637399,Filtered Data (2017-2020),,
2017.0,16.550407,Filtered Data (2017-2020),,
2017.0,18.933768,Filtered Data (2017-2020),,
2017.0,1.565272,Filtered Data (2017-2020),,
2017.0,8.997451,Filtered Data (2017-2020),,
2017.0,10.562723,Filtered Data (2017-2020),,
2017.0,50.445216,Filtered Data (2017-2020),,
2017.0,1.064285,Filtered Data (2017-2020),,
2017.0,51.5095,Filtered Data (2017-2020),,
2017.0,42.648346,Filtered Data (2017-2020),,
2017.0,1.423873,Filtered Data (2017-2020),,
2017.0,11.689142,Filtered Data (2017-2020),,
2017.0,55.76136,Filtered Data (2017-2020),,
2017.0,4.976237,Filtered Data (2017-2020),,
2017.0,4.60758,Filtered Data (2017-2020),,
2017.0,9.336115,Filtered Data (2017-2020),,
2017.0,18.919933,Filtered Data (2017-2020),,
2017.0,155.687284,Filtered Data (2017-2020),,
2017.0,47.624583,Filtered Data (2017-2020),,
2017.0,60.425301,Filtered Data (2017-2020),,
2017.0,2.383361,Filtered Data (2017-2020),,
2017.0,6.594784,Filtered Data (2017-2020),,
2017.0,32.522928,Filtered Data (2017-2020),,
2017.0,0.729259,Filtered Data (2017-2020),,
2017.0,33.252186,Filtered Data (2017-2020),,
2017.0,22.522279,Filtered Data (2017-2020),,
2017.0,0.023935,Filtered Data (2017-2020),,
2017.0,2.729309,Filtered Data (2017-2020),,
2017.0,25.275524,Filtered Data (2017-2020),,
2017.0,2.095389,Filtered Data (2017-2020),,
2017.0,6.801232,Filtered Data (2017-2020),,
2017.0,8.662277,Filtered Data (2017-2020),,
2017.0,17.558898,Filtered Data (2017-2020),,
2017.0,91.279048,Filtered Data (2017-2020),,
2017.0,24.631253,Filtered Data (2017-2020),,
2017.0,42.329767,Filtered Data (2017-2020),,
2017.0,24.318029,Filtered Data (2017-2020),,
2017.0,1.840784,Filtered Data (2017-2020),,
2017.0,6.756872,Filtered Data (2017-2020),,
2017.0,8.597656,Filtered Data (2017-2020),,
2017.0,0.013584,Filtered Data (2017-2020),,
2017.0,1.140888,Filtered Data (2017-2020),,
2017.0,5.440312,Filtered Data (2017-2020),,
2017.0,28.464327,Filtered Data (2017-2020),,
2017.0,5.142707,Filtered Data (2017-2020),,
2017.0,60.462892,Filtered Data (2017-2020),,
2017.0,11.104989,Filtered Data (2017-2020),,
2017.0,6.834931,Filtered Data (2017-2020),,
2017.0,4.270058,Filtered Data (2017-2020),,
2017.0,23.7343,Filtered Data (2017-2020),,
2017.0,18.581516,Filtered Data (2017-2020),,
2017.0,0.010078,Filtered Data (2017-2020),,
2017.0,5.142707,Filtered Data (2017-2020),,
2017.0,22.75244,Filtered Data (2017-2020),,
2017.0,1.071375,Filtered Data (2017-2020),,
2017.0,21.681065,Filtered Data (2017-2020),,
2017.0,1.557424,Filtered Data (2017-2020),,
2017.0,0.966242,Filtered Data (2017-2020),,
2017.0,0.591182,Filtered Data (2017-2020),,
2017.0,1.313738,Filtered Data (2017-2020),,
2017.0,1.010264,Filtered Data (2017-2020),,
2017.0,0.303475,Filtered Data (2017-2020),,
2017.0,26.855858,Filtered Data (2017-2020),,
2017.0,0.770153,Filtered Data (2017-2020),,
2017.0,13.857634,Filtered Data (2017-2020),,
2017.0,42.774048,Filtered Data (2017-2020),,
2017.0,67.874055,Filtered Data (2017-2020),,
2017.0,124.505737,Filtered Data (2017-2020),,
2017.0,7.904339,Filtered Data (2017-2020),,
2017.0,3.217168,Filtered Data (2017-2020),,
2017.0,2.749253,Filtered Data (2017-2020),,
2017.0,1.937917,Filtered Data (2017-2020),,
2017.0,68.495956,Filtered Data (2017-2020),,
2017.0,2.560844,Filtered Data (2017-2020),,
2017.0,0.053503,Filtered Data (2017-2020),,
2017.0,65.881609,Filtered Data (2017-2020),,
2017.0,38.532424,Filtered Data (2017-2020),,
2017.0,0.37746,Filtered Data (2017-2020),,
2017.0,38.154964,Filtered Data (2017-2020),,
2017.0,4.181335,Filtered Data (2017-2020),,
2017.0,3.080632,Filtered Data (2017-2020),,
2017.0,1.046175,Filtered Data (2017-2020),,
2017.0,0.054528,Filtered Data (2017-2020),,
2017.0,5.391683,Filtered Data (2017-2020),,
2017.0,4.62153,Filtered Data (2017-2020),,
2017.0,2.637976,Filtered Data (2017-2020),,
2017.0,1.408869,Filtered Data (2017-2020),,
2017.0,4.480466,Filtered Data (2017-2020),,
2017.0,31.251089,Filtered Data (2017-2020),,
2017.0,14.92441,Filtered Data (2017-2020),,
2017.0,11.980882,Filtered Data (2017-2020),,
2017.0,4.345798,Filtered Data (2017-2020),,
2017.0,0.483646,Filtered Data (2017-2020),,
2017.0,1.183597,Filtered Data (2017-2020),,
2017.0,1.667242,Filtered Data (2017-2020),,
2017.0,0.004496,Filtered Data (2017-2020),,
2017.0,0.189869,Filtered Data (2017-2020),,
2017.0,1.287935,Filtered Data (2017-2020),,
2017.0,1.4823,Filtered Data (2017-2020),,
2017.0,7.853744,Filtered Data (2017-2020),,
2017.0,0.208783,Filtered Data (2017-2020),,
2017.0,8.062527,Filtered Data (2017-2020),,
