Año,Id_Marca,Id_Modelo,Costo_Combustible,Co2,ID_Combustible
2018,186,960,1350.0,223.0,2
2018,186,958,2200.0,366.0,2
1987,42,1001,4850.0,-1.0,2
2018,196,4036,2500.0,340.0,1
2018,76,1932,1950.0,327.0,2
2018,196,4820,2600.0,354.0,1
2018,29,1607,4100.0,541.0,1
2018,29,1294,2300.0,396.0,2
2018,29,1294,4100.0,559.0,1
2018,29,2634,2100.0,360.0,2
2018,29,2634,2400.0,409.0,5
2018,60,2368,3450.0,482.0,1
2018,55,4688,2300.0,392.0,5
2018,85,2108,2700.0,365.0,1
2018,97,973,5450.0,731.0,1
2018,97,971,5450.0,751.0,1
2018,119,771,3650.0,486.0,1
2018,178,2880,1850.0,311.0,2
2018,178,2880,2300.0,387.0,2
2018,178,3438,1900.0,320.0,2
1987,55,839,2800.0,-1.0,2
2018,113,104,1700.0,283.0,2
2018,113,104,1750.0,293.0,2
2018,113,107,1700.0,286.0,2
2018,113,107,1650.0,280.0,2
2018,186,1295,1550.0,264.0,2
2018,76,1932,2100.0,363.0,2
2018,178,2646,2100.0,351.0,2
2018,87,1508,2050.0,339.0,2
2018,87,1507,2100.0,355.0,2
1985,186,1295,,-1.0,9
2018,8,4534,2600.0,358.0,1
2018,195,1055,1850.0,305.0,2
2018,195,1054,1850.0,305.0,2
2018,27,795,2200.0,376.0,2
2018,186,1303,1150.0,195.0,2
2018,8,687,2950.0,397.0,1
1987,55,1776,4850.0,-1.0,2
2018,119,2380,2700.0,364.0,1
2018,27,5159,2550.0,423.0,2
2018,65,805,2300.0,386.0,2
2018,65,805,2550.0,423.0,2
2018,85,2122,3650.0,500.0,1
2018,27,1253,2600.0,360.0,1
2018,29,4329,2950.0,495.0,2
2018,65,4275,3850.0,517.0,1
2018,65,4289,3850.0,524.0,1
2018,29,4330,3100.0,523.0,2
2018,65,4291,3100.0,523.0,2
2018,29,4557,2800.0,468.0,5
2018,65,5197,3850.0,517.0,1
2018,65,5196,2800.0,468.0,2
2018,29,4561,2950.0,497.0,2
2018,65,5204,4100.0,548.0,1
2018,65,5204,2950.0,504.0,5
2018,119,2388,3450.0,457.0,1
2018,8,655,1950.0,330.0,2
2018,42,1407,3850.0,523.0,1
2018,42,1410,4100.0,567.0,1
1987,65,2327,3250.0,-1.0,3
2018,30,120,2550.0,415.0,2
2018,42,1419,3650.0,486.0,1
2018,93,2282,1950.0,332.0,2
2018,29,1479,2400.0,403.0,2
2018,65,1311,2650.0,440.0,2
2018,29,1480,2800.0,463.0,2
2018,65,1312,2550.0,429.0,2
2018,74,3898,2550.0,424.0,2
2018,87,1426,2100.0,361.0,2
1985,186,1295,1950.0,-1.0,2
1987,65,4123,2550.0,-1.0,2
2018,119,2404,4100.0,556.0,1
1987,65,4123,3100.0,-1.0,2
2018,123,1559,2500.0,338.0,1
2018,123,2709,2600.0,349.0,1
2018,21,85,2400.0,333.0,1
2018,21,2953,2950.0,401.0,1
2018,21,2941,2950.0,395.0,1
2018,123,1550,2050.0,282.0,1
2018,123,1565,2500.0,338.0,1
2018,123,1566,2500.0,338.0,1
1987,124,4825,2950.0,-1.0,2
2018,123,2713,2500.0,338.0,1
2018,21,214,2400.0,324.0,1
2018,21,235,2600.0,352.0,1
2018,21,235,2850.0,389.0,1
2018,29,1646,1600.0,269.0,2
2018,80,3628,2350.0,321.0,1
1987,186,1335,2650.0,-1.0,2
2018,124,3174,1450.0,237.0,2
1987,186,1336,2950.0,-1.0,2
2018,123,1542,2400.0,323.0,1
2018,123,1561,2700.0,365.0,1
1987,29,940,3100.0,-1.0,2
2018,87,2510,4350.0,592.0,1
2018,129,913,3550.0,587.0,2
1987,29,940,3100.0,-1.0,2
2018,29,4915,1250.0,51.0,11
1985,186,1584,2050.0,-1.0,2
2018,149,583,2700.0,362.0,1
2018,149,612,2950.0,396.0,1
2018,149,593,3100.0,418.0,1
2018,149,585,3100.0,414.0,1
1987,29,2323,4100.0,-1.0,2
2018,119,1144,2600.0,351.0,1
2018,119,700,2950.0,394.0,1
2018,29,1643,1700.0,285.0,2
2018,119,1779,2600.0,351.0,1
2018,123,1543,2500.0,341.0,1
2018,55,2167,2400.0,401.0,2
2018,55,2168,2400.0,401.0,2
2018,55,2139,2550.0,420.0,2
2018,55,2155,3100.0,522.0,2
2018,186,4743,3300.0,554.0,2
2018,55,2173,2800.0,470.0,2
2018,55,2174,2800.0,470.0,2
2018,55,2148,2950.0,494.0,2
2018,186,4745,3300.0,568.0,2
2018,186,4745,3800.0,615.0,2
2018,3,2483,2400.0,330.0,1
2018,74,2548,1700.0,289.0,2
2018,65,4612,1850.0,319.0,3
2018,29,1983,1850.0,319.0,3
2018,65,4611,1850.0,319.0,3
2018,42,1739,3550.0,533.0,6
2018,186,4225,3800.0,614.0,5
2018,119,702,3450.0,468.0,1
2018,93,3901,1650.0,280.0,2
2018,93,3901,1650.0,277.0,2
2018,119,701,3250.0,441.0,1
2018,119,704,3250.0,441.0,1
2018,129,4882,1750.0,296.0,2
1987,42,1002,4100.0,-1.0,2
2018,186,1584,1650.0,281.0,2
2018,74,1446,1550.0,259.0,2
2018,149,3459,2700.0,369.0,1
2018,149,3460,2850.0,378.0,1
2018,42,2716,2800.0,456.0,5
1987,42,1002,5300.0,-1.0,2
2018,186,3740,2200.0,363.0,2
2017,153,19,2550.0,448.0,3
1987,42,1032,4850.0,-1.0,2
2018,119,1230,3250.0,444.0,1
2018,8,3999,3650.0,480.0,1
1985,186,1584,1850.0,-1.0,2
2018,29,4705,2950.0,404.0,1
2018,29,4391,1600.0,269.0,2
1987,55,841,3100.0,-1.0,2
2018,29,4368,1900.0,311.0,2
2018,101,3058,2550.0,425.0,2
2018,157,3540,4650.0,623.0,1
1987,55,1770,3550.0,-1.0,2
2018,55,4698,3300.0,570.0,2
2018,27,5170,3100.0,525.0,2
2018,24,1954,1900.0,313.0,2
1987,55,1770,3550.0,-1.0,2
1987,55,1770,4100.0,-1.0,2
2018,149,600,3850.0,522.0,1
2018,149,1393,2600.0,353.0,1
2018,149,1397,2700.0,372.0,1
2018,149,619,3450.0,459.0,1
2018,129,888,1700.0,287.0,2
2018,129,2298,2550.0,431.0,2
2018,129,2300,3100.0,519.0,2
2018,129,2301,3100.0,520.0,5
2018,129,3520,2300.0,395.0,2
2018,24,1965,2200.0,377.0,2
2018,21,5033,3850.0,517.0,1
2018,149,1367,3250.0,432.0,1
2018,8,3725,3850.0,531.0,1
2018,8,3726,3650.0,497.0,1
2018,55,1920,2200.0,370.0,2
2018,1,3033,2950.0,404.0,1
2018,101,3055,2800.0,467.0,2
2018,85,2116,2500.0,346.0,1
2018,74,1444,1650.0,278.0,2
2018,99,2422,2100.0,283.0,1
2018,87,4977,2950.0,502.0,2
2018,74,814,1750.0,298.0,2
2018,55,2151,3100.0,522.0,5
2017,171,5293,700.0,0.0,4
2018,55,2262,1900.0,316.0,2
2018,129,3132,2600.0,364.0,1
2018,93,3409,1100.0,183.0,2
2018,93,3411,1050.0,177.0,2
2018,42,2504,2650.0,445.0,2
2018,186,2556,2400.0,407.0,2
2018,98,3830,2700.0,377.0,1
2018,55,3306,2950.0,483.0,2
2018,55,3307,2950.0,483.0,2
2018,55,3308,2950.0,483.0,2
2018,93,3429,1250.0,212.0,2
2018,129,4211,1650.0,279.0,2
2018,129,4216,2400.0,330.0,1
2018,129,4629,2950.0,505.0,2
1987,195,4846,3550.0,-1.0,2
2018,76,4739,2050.0,342.0,2
2018,124,3445,2050.0,343.0,2
2018,124,3445,2100.0,353.0,2
2018,55,2046,2400.0,409.0,2
1985,186,1626,3450.0,-1.0,1
2018,178,1049,2400.0,322.0,1
2018,99,2620,2850.0,388.0,1
2018,99,2621,2950.0,410.0,1
2018,1,3758,2850.0,383.0,1
2018,93,4456,3250.0,446.0,1
2018,85,5110,3100.0,416.0,1
2018,149,3099,3450.0,467.0,1
2018,149,1379,3850.0,536.0,1
2018,119,2393,3100.0,296.0,7
2017,101,3051,3300.0,550.0,2
2018,74,815,2050.0,345.0,2
2018,186,3581,950.0,158.0,2
2018,74,814,2050.0,344.0,2
2018,93,1287,2300.0,383.0,2
2018,113,3092,2250.0,303.0,1
2018,87,3891,2100.0,357.0,5
2018,113,1272,2050.0,335.0,2
2018,55,2429,4650.0,653.0,1
2018,55,2430,4650.0,653.0,1
2018,178,4929,3650.0,477.0,1
2018,74,3553,2400.0,408.0,2
2018,80,3671,4100.0,547.0,1
2018,93,3412,1150.0,90.0,10
2018,87,3891,2100.0,357.0,2
2018,87,3395,2650.0,446.0,2
2018,98,3822,3450.0,468.0,1
2018,136,2573,5050.0,671.0,1
2018,186,547,2700.0,373.0,1
2018,99,3750,3450.0,465.0,1
2018,99,3749,3100.0,422.0,1
1987,42,696,4850.0,-1.0,2
2018,76,2769,1750.0,303.0,2
2018,76,2769,1750.0,300.0,2
2018,195,2496,1900.0,320.0,2
2018,182,3207,700.0,0.0,4
2018,182,3205,700.0,0.0,4
2018,21,5313,650.0,0.0,4
2018,195,2497,2200.0,361.0,2
1987,42,1332,2400.0,-1.0,2
2018,129,2866,650.0,0.0,4
2019,87,1424,2400.0,400.0,2
2019,87,1425,2550.0,416.0,2
2018,99,2819,2350.0,314.0,1
2018,99,2820,2500.0,340.0,1
2018,186,2565,1850.0,305.0,2
2018,186,3583,1000.0,78.0,10
2019,80,3661,2500.0,340.0,1
2019,87,1426,2100.0,352.0,2
2019,87,1424,2200.0,369.0,2
2019,87,1425,2300.0,387.0,2
1985,195,2499,1650.0,-1.0,3
2018,99,2818,3100.0,417.0,1
2018,98,3839,4350.0,587.0,1
2018,98,3852,4100.0,540.0,1
2019,60,2362,2950.0,410.0,1
2018,99,3792,2250.0,305.0,1
2019,74,3899,2400.0,410.0,2
1987,65,3693,3800.0,-1.0,2
2019,74,3898,2550.0,424.0,2
1987,65,3693,4100.0,-1.0,2
2018,119,3993,3100.0,426.0,1
2018,119,785,4100.0,553.0,1
2018,53,310,2400.0,326.0,1
2019,29,1611,4350.0,613.0,1
2019,123,1545,2200.0,297.0,1
2019,21,275,2400.0,324.0,1
1987,65,3952,2800.0,-1.0,2
2019,123,1565,2350.0,316.0,1
2019,123,2713,2500.0,338.0,1
2019,21,280,2400.0,331.0,1
2019,21,292,2700.0,367.0,1
1985,195,2499,2300.0,-1.0,2
2019,21,879,3250.0,448.0,1
2019,21,358,2400.0,324.0,1
2019,123,1542,2350.0,321.0,1
1987,65,3952,3100.0,-1.0,2
2019,123,1546,2350.0,321.0,1
2019,123,1547,2600.0,347.0,1
2019,123,1560,2400.0,332.0,1
2019,123,1558,2500.0,345.0,1
2019,123,2708,2500.0,345.0,1
2019,123,2682,2700.0,367.0,1
2019,21,508,3250.0,448.0,1
2019,21,885,3250.0,448.0,1
2019,60,2368,3450.0,482.0,1
2019,85,5083,2350.0,312.0,1
1987,87,1423,2550.0,-1.0,2
2019,178,929,2300.0,387.0,2
2019,52,304,3650.0,501.0,1
1987,87,1423,3300.0,-1.0,2
2019,74,2245,1500.0,246.0,2
2019,74,2245,1600.0,267.0,2
2019,74,2245,1700.0,281.0,2
2019,21,2594,2400.0,191.0,7
1987,87,1423,2950.0,-1.0,2
2019,52,304,3650.0,495.0,1
2019,52,303,3850.0,531.0,1
2019,85,2129,3650.0,485.0,1
2019,101,3046,2300.0,390.0,2
2019,93,4416,2550.0,424.0,2
2019,149,1078,2600.0,353.0,1
2019,149,581,2600.0,355.0,1
2019,149,596,2700.0,367.0,1
2019,149,584,2700.0,370.0,1
2019,149,589,2850.0,392.0,1
2019,149,586,3100.0,419.0,1
2019,149,586,2950.0,402.0,1
2019,149,597,2950.0,399.0,1
2019,101,3053,2950.0,491.0,2
2019,55,2254,2950.0,494.0,2
2019,149,1393,2600.0,353.0,1
2019,149,1397,2950.0,401.0,1
2019,149,593,3100.0,418.0,1
2019,85,5095,2850.0,390.0,1
2019,178,2642,1950.0,331.0,2
1987,29,4500,2550.0,-1.0,2
2019,27,5167,2400.0,408.0,2
2019,29,2634,2400.0,409.0,5
2019,85,5110,3100.0,416.0,1
1985,195,2499,2050.0,-1.0,2
1987,29,4500,2650.0,-1.0,2
2019,85,5126,3250.0,450.0,1
2019,178,2646,1750.0,292.0,2
2019,27,5169,3100.0,521.0,2
2019,80,3666,2950.0,399.0,1
2019,80,3665,2950.0,410.0,1
2019,178,1633,1850.0,301.0,2
1987,29,4500,3300.0,-1.0,2
2018,55,2173,2650.0,463.0,3
2018,55,2174,2650.0,463.0,3
2018,55,2150,2650.0,463.0,3
2018,149,3467,2950.0,260.0,12
2019,29,4391,1600.0,271.0,2
2019,186,1594,1600.0,271.0,2
2019,196,4820,2600.0,359.0,1
2019,24,1954,1900.0,312.0,2
2019,27,5158,2400.0,405.0,2
2019,65,4612,2700.0,369.0,1
2019,29,1983,1950.0,334.0,2
2019,196,5077,2700.0,365.0,1
2019,27,1987,3850.0,535.0,1
2019,29,4474,3300.0,541.0,5
2019,29,4474,4100.0,553.0,1
2019,65,5204,3300.0,541.0,5
2019,65,5203,3100.0,513.0,2
2019,65,5204,4100.0,553.0,1
1987,129,3521,3300.0,-1.0,2
2019,55,3306,2100.0,355.0,2
2019,55,3307,2100.0,355.0,2
2019,55,3308,2100.0,355.0,2
2019,55,3309,2950.0,490.0,2
2019,186,1590,1500.0,249.0,2
2019,186,1591,1600.0,266.0,2
2019,65,805,2550.0,430.0,2
2019,29,4392,1600.0,271.0,2
2019,65,4612,1850.0,321.0,3
2019,124,1912,2050.0,338.0,2
2019,21,5009,2600.0,360.0,1
2019,149,600,3850.0,522.0,1
2019,149,614,3100.0,430.0,1
1987,42,799,4850.0,-1.0,2
2019,76,1938,1600.0,272.0,2
2019,76,1929,1650.0,281.0,2
2019,55,4687,2400.0,396.0,2
2019,178,3438,1900.0,320.0,2
2019,76,2672,500.0,0.0,4
2019,29,1479,2400.0,406.0,2
2019,65,1311,2400.0,403.0,2
2019,153,20,3200.0,473.0,6
2019,74,3556,2400.0,405.0,2
2019,196,5064,2500.0,210.0,7
2019,27,795,2300.0,396.0,2
2019,27,795,2600.0,352.0,1
2019,27,1263,4100.0,543.0,1
2019,53,313,2600.0,356.0,1
2019,74,2547,1850.0,311.0,2
2019,29,4339,3100.0,508.0,2
2019,80,3671,4100.0,547.0,1
2019,21,84,2600.0,356.0,1
2019,21,86,2400.0,326.0,1
2019,21,2954,3100.0,413.0,1
2019,21,2953,2700.0,367.0,1
2019,21,2952,2700.0,367.0,1
2019,21,2944,3450.0,470.0,1
2019,21,2984,3250.0,450.0,1
2019,29,1294,2600.0,354.0,1
2019,195,1053,1850.0,308.0,2
1987,55,1087,3550.0,-1.0,2
2019,85,5095,1700.0,299.0,3
