,Year,Manufacturer,Model,charge240,feScore,fuelCost08,fuelType1,VClass
27685,2017,,62,0.0,4.0,3250.0,0,0
27686,2017,,226,0.0,5.0,2600.0,0,2
27687,2017,,243,0.0,6.0,2350.0,0,2
27689,2017,,20,0.0,4.0,3250.0,0,2
27690,2017,,15,0.0,5.0,2200.0,1,2
27700,2017,,139,4.0,10.0,650.0,3,1
27702,2017,,367,0.0,3.0,3650.0,0,1
27703,2017,,21,0.0,7.0,2250.0,0,1
27718,2017,,126,0.0,5.0,2600.0,0,0
27719,2017,,141,0.0,6.0,2500.0,0,2
27721,2017,,243,0.0,6.0,2400.0,0,2
27722,2017,,38,0.0,5.0,2600.0,0,2
27723,2017,,64,0.0,6.0,2400.0,0,2
27724,2017,,147,0.0,6.0,2500.0,0,2
27725,2017,,112,0.0,6.0,2500.0,0,2
27727,2017,,278,0.0,4.0,3450.0,0,2
27728,2017,,98,0.0,7.0,1650.0,1,2
27729,2017,,31,0.0,5.0,2600.0,0,2
27730,2017,,35,0.0,7.0,1650.0,1,2
27740,2017,,78,0.0,5.0,2600.0,0,0
27741,2017,,290,0.0,5.0,2600.0,0,2
27747,2017,,128,0.0,5.0,2850.0,0,0
27748,2017,,437,0.0,7.0,2100.0,0,2
27749,2017,,66,0.0,5.0,2600.0,0,2
27750,2017,,40,0.0,6.0,1900.0,1,2
27751,2017,,178,0.0,8.0,1500.0,1,2
27754,2017,,76,0.0,6.0,2350.0,0,1
27755,2017,,157,0.0,2.0,4350.0,0,0
27756,2017,,438,0.0,2.0,4100.0,0,0
27757,2017,,96,0.0,7.0,1750.0,1,2
27758,2017,,96,0.0,7.0,1850.0,1,2
27763,2017,,42,0.0,6.0,1900.0,1,2
27776,2017,,411,0.0,2.0,4100.0,0,1
27777,2017,,133,0.0,3.0,3650.0,0,2
27778,2017,,439,0.0,4.0,2650.0,1,2
27787,2017,,369,0.0,6.0,2500.0,0,0
27788,2017,,250,0.0,3.0,3850.0,0,0
27789,2017,,440,0.0,4.0,3450.0,0,2
27800,2017,,441,5.0,10.0,1850.0,0,0
