PULocationID,Fecha,trip_distance,fare_amount,Es_verde,cantidad_viajes
1,2019-02-01,172550.86,548604.08,0,15478
1,2019-02-02,125572.23,393163.14,0,11884
1,2019-02-03,177994.31,545318.79,0,15555
1,2019-02-04,198295.99,624885.48,0,17669
1,2019-02-05,168410.5,529786.92,0,15424
1,2019-02-06,162858.1,515485.74,0,14765
1,2019-02-07,175320.43,560899.64,0,15837
1,2019-02-08,185305.84,588834.59,0,16315
1,2019-02-09,128052.54,395768.46,0,11812
1,2019-02-10,184543.69,567331.63,0,16090
1,2019-02-11,202125.39,634875.68,0,17790
1,2019-02-12,131536.76,409000.56,0,12003
1,2019-02-13,182919.49,588926.99,0,16363
1,2019-02-14,177274.83,577306.71,0,15920
1,2019-02-15,190048.69,613097.04,0,16614
1,2019-02-16,129239.31,400209.5,0,11951
1,2019-02-17,142796.65,444405.22,0,13042
1,2019-02-18,219037.98,665125.33,0,18609
1,2019-02-19,206125.14,643825.76,0,17717
1,2019-02-20,164299.06,508502.39,0,14190
1,2019-02-21,198452.78,632683.49,0,17708
1,2019-02-22,183443.62,582951.6,0,16359
1,2019-02-23,140843.38,433260.33,0,12691
1,2019-02-24,197949.49,604342.59,0,16986
1,2019-02-25,209723.5,1323379.11,0,17895
1,2019-02-26,200440.93,629115.11,0,17910
1,2019-02-27,194236.57,614033.64,0,16961
1,2019-02-28,198879.13,649785.73,0,17453
2,2019-02-01,5445.24,19975.99,0,772
2,2019-02-02,3225.67,11993.05,0,527
2,2019-02-03,4239.35,14898.84,0,645
2,2019-02-04,5498.94,20279.34,0,742
2,2019-02-05,5335.87,19182.51,0,677
2,2019-02-06,5030.43,18584.76,0,648
2,2019-02-07,5048.27,18734.17,0,654
2,2019-02-08,5524.7,20702.81,0,761
2,2019-02-09,3073.23,11257.69,0,455
2,2019-02-10,3959.15,13664.65,0,557
2,2019-02-11,4833.54,17240.67,0,631
2,2019-02-12,3950.64,13868.55,0,504
2,2019-02-13,4682.53,17557.7,0,633
2,2019-02-14,5508.26,20106.95,0,748
2,2019-02-15,6057.54,21830.94,0,791
2,2019-02-16,3261.45,11549.92,0,483
2,2019-02-17,4599.67,16332.8,0,640
2,2019-02-18,2653.87,9291.11,0,370
2,2019-02-19,5094.33,17639.04,0,573
2,2019-02-20,4383.91,15279.95,0,589
2,2019-02-21,4778.23,16888.13,0,601
2,2019-02-22,5168.17,18842.96,0,696
2,2019-02-23,4407.44,15597.59,0,632
2,2019-02-24,4165.71,15114.78,0,582
2,2019-02-25,5908.32,21090.71,0,743
2,2019-02-26,5590.92,20081.9,0,725
2,2019-02-27,5899.25,22027.49,0,793
2,2019-02-28,5509.72,20637.18,0,707
3,2019-02-01,595630.81,2966849.38,0,271689
3,2019-02-02,538740.82,2573405.93,0,245615
3,2019-02-03,480696.57,2105179.35,0,198250
3,2019-02-04,487520.45,2286600.23,0,209792
3,2019-02-05,536089.41,2571063.08,0,231855
3,2019-02-06,583303.21,2871836.18,0,256482
3,2019-02-07,600856.95,2929495.35,0,253797
3,2019-02-08,609622.29,3016348.01,0,265999
3,2019-02-09,569268.09,2785212.96,0,257810
3,2019-02-10,482560.24,2150425.31,0,198801
3,2019-02-11,489933.17,2326548.5,0,212673
3,2019-02-12,467195.89,2303976.5,0,220688
3,2019-02-13,570972.05,2785973.49,0,246274
3,2019-02-14,579646.13,2869846.99,0,249353
3,2019-02-15,561725.62,2712150.91,0,234308
3,2019-02-16,515182.05,2417025.73,0,222179
3,2019-02-17,467852.69,2096758.15,0,193473
3,2019-02-18,404060.14,1765515.94,0,170612
3,2019-02-19,491061.71,2390800.52,0,212636
3,2019-02-20,492488.29,2408546.04,0,222039
3,2019-02-21,548374.07,2663124.34,0,230024
3,2019-02-22,567831.56,2733004.55,0,241841
3,2019-02-23,540776.24,2546945.45,0,234428
3,2019-02-24,460631.45,2003471.29,0,186435
3,2019-02-25,478334.43,2284027.48,0,211407
3,2019-02-26,539144.37,2650452.0,0,239524
3,2019-02-27,574113.38,2792849.95,0,247687
3,2019-02-28,605732.34,2971029.09,0,256892
4,2019-02-01,152.04,429.9,0,12
4,2019-02-02,172.81,677.63,0,20
4,2019-02-03,134.53,381.01,0,10
4,2019-02-04,147.35,530.28,0,16
4,2019-02-05,115.48,397.71000000000004,0,16
4,2019-02-06,165.02,526.05,0,14
4,2019-02-07,210.18,756.56,0,21
4,2019-02-08,209.71,618.17,0,12
4,2019-02-09,138.34,397.5,0,5
4,2019-02-10,63.629999999999995,328.5,0,8
4,2019-02-11,85.25,264.51,0,8
4,2019-02-12,139.32,459.37,0,10
4,2019-02-13,161.71,477.81,0,10
4,2019-02-14,159.81,458.69,0,10
4,2019-02-15,214.25,572.41,0,13
4,2019-02-16,133.32999999999998,572.5,0,10
4,2019-02-17,217.8,714.4399999999999,0,14
4,2019-02-18,230.35,689.0,0,14
4,2019-02-19,213.78,623.66,0,12
4,2019-02-20,233.16,842.01,0,18
4,2019-02-21,220.83,628.25,0,11
4,2019-02-22,308.86,874.93,0,18
4,2019-02-23,110.94,389.9,0,5
4,2019-02-24,269.24,1141.07,0,19
4,2019-02-25,230.94,686.9,0,12
4,2019-02-26,125.36,373.81,0,12
4,2019-02-27,203.01,822.55,0,21
4,2019-02-28,168.79,754.8199999999999,0,14
5,2019-02-01,16312.65,65214.340000000004,0,3509
5,2019-02-02,15865.45,62518.25,0,3878
5,2019-02-03,17528.22,67500.6,0,3913
5,2019-02-04,14960.7,58277.62,0,2996
5,2019-02-05,16012.45,62383.0,0,3162
5,2019-02-06,17319.93,68333.31,0,3500
5,2019-02-07,17121.59,69103.7,0,3469
5,2019-02-08,18612.32,75154.35,0,3816
5,2019-02-09,15749.27,62322.8,0,3867
5,2019-02-10,15481.31,59764.65,0,3492
5,2019-02-11,15103.0,58689.58,0,2879
5,2019-02-12,12272.78,47912.82,0,2564
5,2019-02-13,16782.34,66668.42,0,3300
5,2019-02-14,18336.77,73034.34,0,3642
5,2019-02-15,18606.61,73204.86,0,3729
5,2019-02-16,16336.25,64123.12,0,3722
5,2019-02-17,14667.9,56444.36,0,3242
5,2019-02-18,10149.25,39231.28,0,2179
5,2019-02-19,13977.98,54467.57,0,2644
5,2019-02-20,14858.58,56533.01,0,2925
5,2019-02-21,16457.11,63724.79,0,3216
5,2019-02-22,18078.68,69741.17,0,3538
5,2019-02-23,15919.82,62631.39,0,3725
5,2019-02-24,14646.43,57360.25,0,3367
5,2019-02-25,15803.69,61667.53,0,3052
5,2019-02-26,16731.55,66900.67,0,3240
5,2019-02-27,19096.65,75344.61,0,3737
5,2019-02-28,18780.69,74848.49,0,3774
