PULocationID,Fecha,trip_distance,fare_amount,Es_verde,cantidad_viajes
1,2019-11-01,185215.04,613096.76,0,16823
1,2019-11-02,128077.24,408732.43,0,12036
1,2019-11-03,180655.88,572857.07,0,16156
1,2019-11-04,198845.42,651098.93,0,17764
1,2019-11-05,160747.2,520481.16,0,14712
1,2019-11-06,171823.56,570868.43,0,15680
1,2019-11-07,191935.43,644811.47,0,17224
1,2019-11-08,196567.43,651839.25,0,17668
1,2019-11-09,144557.22,463510.35,0,13247
1,2019-11-10,184611.99,590295.16,0,16562
1,2019-11-11,195813.86,623257.57,0,16946
1,2019-11-12,180349.88,595721.34,0,16151
1,2019-11-13,176902.88,587215.64,0,15896
1,2019-11-14,184280.53,607530.67,0,16525
1,2019-11-15,184354.05,616328.89,0,16751
1,2019-11-16,132688.43,423554.45,0,12358
1,2019-11-17,184693.17,585903.1,0,16582
1,2019-11-18,193573.66,627704.75,0,16749
1,2019-11-19,171438.29,570393.69,0,15578
1,2019-11-20,164119.96,543996.72,0,15268
1,2019-11-21,177913.26,605264.69,0,16581
1,2019-11-22,159968.92,545466.13,0,15100
1,2019-11-23,124362.35,403242.73,0,11897
1,2019-11-24,132932.45,487302.01,0,14193
1,2019-11-25,136871.26,458990.23,0,13207
1,2019-11-26,142324.86,487103.49,0,13546
1,2019-11-27,145006.6,477278.72,0,13477
1,2019-11-28,100222.67,324594.88,0,9634
1,2019-11-29,127749.75,403028.94,0,11846
1,2019-11-30,176457.74,553939.95,0,16072
2,2019-11-01,2770.49,12066.66,0,485
2,2019-11-02,1996.46,9246.03,0,385
2,2019-11-03,2229.08,10714.81,0,434
2,2019-11-04,2600.49,11665.62,0,432
2,2019-11-05,2236.41,9626.42,0,390
2,2019-11-06,2876.13,11124.45,0,405
2,2019-11-07,2348.27,9960.04,0,373
2,2019-11-08,2500.7,10911.24,0,406
2,2019-11-09,1645.41,7071.6,0,295
2,2019-11-10,2118.1,9554.130000000001,0,382
2,2019-11-11,1193.07,5785.9800000000005,0,251
2,2019-11-12,2657.34,11569.95,0,415
2,2019-11-13,2161.84,9084.35,0,328
2,2019-11-14,2466.94,10573.3,0,351
2,2019-11-15,2713.06,12461.25,0,475
2,2019-11-16,1739.53,7200.01,0,289
2,2019-11-17,2023.7,9362.39,0,385
2,2019-11-18,2411.01,10518.0,0,393
2,2019-11-19,2691.5,11353.67,0,388
2,2019-11-20,2105.12,11472.51,0,409
2,2019-11-21,299.6,12097.95,0,398
2,2019-11-22,693.95,10852.960000000001,0,414
2,2019-11-23,882.78,7861.77,0,327
2,2019-11-24,694.24,9343.61,0,358
2,2019-11-25,1172.97,10962.210000000001,0,396
2,2019-11-26,1381.8,11894.43,0,426
2,2019-11-27,2220.22,11822.44,0,478
2,2019-11-28,3239.05,17804.54,0,769
2,2019-11-29,1794.95,9263.33,0,392
2,2019-11-30,1294.56,7030.77,0,301
3,2019-11-01,584365.21,2972565.26,0,253056
3,2019-11-02,531219.98,2647247.33,0,232187
3,2019-11-03,488880.36,2200376.75,0,189752
3,2019-11-04,474306.12,2301869.05,0,196188
3,2019-11-05,489613.57,2424286.11,0,210079
3,2019-11-06,536827.43,2699698.42,0,224183
3,2019-11-07,560975.88,2892202.25,0,235851
3,2019-11-08,563186.4,2920217.25,0,246048
3,2019-11-09,520106.06,2616163.64,0,226178
3,2019-11-10,469668.36,2147946.26,0,182574
3,2019-11-11,413788.84,2003551.04,0,166957
3,2019-11-12,498000.32,2642699.97,0,221272
3,2019-11-13,528549.1,2738194.96,0,230790
3,2019-11-14,563652.8,2850905.94,0,239309
3,2019-11-15,556720.79,2795607.97,0,235382
3,2019-11-16,541178.59,2666963.55,0,239984
3,2019-11-17,467440.61,2118641.04,0,187682
3,2019-11-18,467879.87,2330027.83,0,207041
3,2019-11-19,492208.56,2483964.5,0,214742
3,2019-11-20,530187.57,2700591.79,0,229563
3,2019-11-21,566578.36,2878574.31,0,239587
3,2019-11-22,523115.02,2640241.15,0,227328
3,2019-11-23,507973.7,2455432.35,0,223519
3,2019-11-24,441273.88,2022399.25,0,186319
3,2019-11-25,429989.45,2175609.9,0,193578
3,2019-11-26,473286.02,2467814.83,0,206452
3,2019-11-27,427822.47,2159232.4,0,190865
3,2019-11-28,316999.22,1378888.81,0,124883
3,2019-11-29,330210.12,1562650.68,0,149271
3,2019-11-30,404334.75,1899023.1,0,169978
