PULocationID,Fecha,trip_distance,fare_amount,Es_verde,cantidad_viajes
1,2019-12-01,8993.42,44645.4,1,3475
1,2019-12-02,13114.83,59676.38,1,4154
1,2019-12-03,14134.59,65781.71,1,4343
1,2019-12-04,14959.86,67475.41,1,4396
1,2019-12-05,16199.95,76276.17,1,4919
1,2019-12-06,10630.27,78750.0,1,5242
1,2019-12-07,14505.83,72443.59,1,5220
1,2019-12-08,11991.38,60113.75,1,4177
1,2019-12-09,13156.04,69394.22,1,4619
1,2019-12-10,13925.3,71601.93,1,4630
1,2019-12-11,13549.24,69606.08,1,4484
1,2019-12-12,15445.44,78496.72,1,5146
1,2019-12-13,16410.45,82040.08,1,5640
1,2019-12-14,15042.97,72584.35,1,4952
1,2019-12-15,12946.289999999999,60804.2,1,4178
1,2019-12-16,13351.12,67100.03,1,4512
1,2019-12-17,14208.9,68135.31,1,4630
1,2019-12-18,16265.85,76269.02,1,5012
1,2019-12-19,16791.31,77269.8,1,5244
1,2019-12-20,17148.41,80784.86,1,5541
1,2019-12-21,14981.79,66176.13,1,4623
1,2019-12-22,12282.05,54749.94,1,3667
1,2019-12-23,14349.86,66033.64,1,4284
1,2019-12-24,13797.96,62072.74,1,4418
1,2019-12-25,9898.9,40750.5,1,2500
1,2019-12-26,2039.68,50938.1,1,3389
1,2019-12-27,12756.63,57145.69,1,3748
1,2019-12-28,12869.05,56004.87,1,3830
1,2019-12-29,11533.23,51111.48,1,3492
1,2019-12-30,16873.09,70658.87,1,4587
1,2019-12-31,17659.95,74492.82,1,4879
2,2019-12-01,3226.04,15597.2,1,681
2,2019-12-02,4801.17,20748.34,1,927
2,2019-12-03,5824.79,26034.55,1,1122
2,2019-12-04,6551.97,28807.46,1,1244
2,2019-12-05,6471.13,29308.48,1,1259
2,2019-12-06,5768.84,31491.95,1,1402
2,2019-12-07,4674.27,22102.74,1,959
2,2019-12-08,4860.82,22511.62,1,962
2,2019-12-09,5014.6,26715.16,1,1133
2,2019-12-10,5684.78,28643.61,1,1190
2,2019-12-11,6018.18,29155.95,1,1235
2,2019-12-12,6318.57,31751.760000000002,1,1423
2,2019-12-13,5701.72,28107.07,1,1227
2,2019-12-14,5185.32,24305.420000000002,1,1006
2,2019-12-15,4511.97,21372.32,1,920
2,2019-12-16,5514.09,27431.63,1,1198
2,2019-12-17,5838.93,26786.74,1,1152
2,2019-12-18,6035.89,27847.96,1,1222
2,2019-12-19,6135.5,27344.08,1,1226
2,2019-12-20,6673.83,29915.98,1,1316
2,2019-12-21,5162.65,22043.55,1,946
2,2019-12-22,4639.37,19373.75,1,826
2,2019-12-23,5334.69,23307.04,1,1002
2,2019-12-24,4921.9,21678.420000000002,1,988
2,2019-12-25,4354.97,16817.37,1,660
2,2019-12-26,4714.97,19362.32,1,796
2,2019-12-27,5146.67,21692.58,1,913
2,2019-12-28,4719.44,19575.88,1,821
2,2019-12-29,4798.15,19868.14,1,813
2,2019-12-30,8672.8,33149.35,1,1472
2,2019-12-31,8824.21,32921.22,1,1538
3,2019-12-01,9651.55,43482.4,1,3929
3,2019-12-02,13694.94,61421.36,1,5290
3,2019-12-03,15350.87,70902.47,1,5500
3,2019-12-04,16421.71,75652.13,1,5886
3,2019-12-05,94837.25,82733.37,1,6258
3,2019-12-06,16108.95,81398.21,1,6370
3,2019-12-07,13478.45,64067.65,1,5397
3,2019-12-08,10600.04,49925.29,1,4186
3,2019-12-09,13746.22,70624.46,1,5428
3,2019-12-10,15215.86,76445.62,1,5646
3,2019-12-11,15237.49,75705.6,1,5786
3,2019-12-12,15708.57,83464.36,1,6185
3,2019-12-13,17043.95,83738.63,1,6423
3,2019-12-14,14124.23,63988.57,1,5323
3,2019-12-15,11335.81,52520.25,1,4454
3,2019-12-16,14746.12,70590.68,1,5447
3,2019-12-17,15881.66,73965.98,1,5711
3,2019-12-18,16537.91,76957.89,1,5677
3,2019-12-19,18227.96,85029.95,1,6374
3,2019-12-20,17218.37,79122.11,1,6035
3,2019-12-21,13275.01,57714.0,1,4818
3,2019-12-22,10987.2,46667.84,1,3860
3,2019-12-23,13191.32,57920.78,1,4591
3,2019-12-24,10963.93,49249.45,1,4349
3,2019-12-25,7782.62,31930.74,1,2651
3,2019-12-26,11025.43,47312.12,1,4073
3,2019-12-27,12186.02,53457.7,1,4482
3,2019-12-28,11332.34,49298.37,1,4145
3,2019-12-29,9716.93,42321.78,1,3537
3,2019-12-30,13952.02,59062.64,1,4723
3,2019-12-31,14143.63,61314.37,1,5339
4,2019-12-01,25.56,68.5,1,1
4,2019-12-02,97.41,318.0,1,7
4,2019-12-03,76.71,255.5,1,6
4,2019-12-04,97.17,385.7,1,9
4,2019-12-05,89.31,330.2,1,7
4,2019-12-06,35.93,125.0,1,2
4,2019-12-07,51.93,161.53,1,3
4,2019-12-08,92.32,299.21000000000004,1,5
4,2019-12-09,39.05,135.0,1,4
4,2019-12-10,60.61,192.47,1,5
4,2019-12-11,20.36,95.5,1,3
4,2019-12-12,59.22,202.5,1,5
4,2019-12-13,91.61,279.39,1,7
4,2019-12-14,36.42,10.0,1,1
4,2019-12-15,38.71,114.0,1,2
4,2019-12-16,72.50999999999999,232.82,1,4
4,2019-12-17,77.6,265.0,1,8
4,2019-12-18,76.99000000000001,240.5,1,5
4,2019-12-19,48.09,142.5,1,2
4,2019-12-20,96.7,295.5,1,4
4,2019-12-21,67.11,193.5,1,3
4,2019-12-22,119.94,354.0,1,5
4,2019-12-23,42.95,130.6,1,3
4,2019-12-24,50.92,161.5,1,5
4,2019-12-25,63.589999999999996,190.42,1,4
4,2019-12-26,76.59,228.71,1,6
4,2019-12-27,124.15,381.61,1,6
4,2019-12-28,81.69,240.41,1,5
4,2019-12-29,135.73000000000002,429.2,1,6
4,2019-12-30,137.7,393.78,1,7
4,2019-12-31,135.64999999999998,441.2,1,9
5,2019-12-01,10198.63,49548.57,1,3040
5,2019-12-02,13675.710000000001,64226.59,1,3528
5,2019-12-03,17032.18,78534.04,1,4250
5,2019-12-04,18617.42,87021.03,1,4511
5,2019-12-05,19113.73,92796.59,1,4807
5,2019-12-06,16959.38,90937.02,1,4841
5,2019-12-07,16580.36,82157.1,1,4892
5,2019-12-08,14936.26,73061.18,1,3946
5,2019-12-09,13502.04,72108.93,1,3804
5,2019-12-10,16073.08,83750.04,1,4301
5,2019-12-11,16629.68,82752.2,1,4406
5,2019-12-12,17495.13,90996.83,1,4739
5,2019-12-13,17005.6,86366.97,1,4845
5,2019-12-14,17123.4,84375.41,1,4934
5,2019-12-15,16362.43,77497.46,1,4366
5,2019-12-16,15599.25,77796.71,1,4188
5,2019-12-17,16132.63,78317.0,1,4169
5,2019-12-18,16812.99,82705.86,1,4452
5,2019-12-19,17636.95,82248.56,1,4409
5,2019-12-20,17247.4,83017.86,1,4402
5,2019-12-21,16771.44,75517.41,1,4341
5,2019-12-22,13765.46,63177.02,1,3421
5,2019-12-23,14085.98,65586.29,1,3514
5,2019-12-24,12886.08,57827.69,1,3347
5,2019-12-25,8853.51,36361.94,1,1726
5,2019-12-26,11617.46,51658.25,1,2835
5,2019-12-27,13620.85,61673.39,1,3286
5,2019-12-28,13556.1,59224.77,1,3306
5,2019-12-29,12203.32,55801.55,1,3173
5,2019-12-30,18245.56,77800.18,1,4240
5,2019-12-31,20143.47,85081.95,1,4699
