PULocationID,Fecha,trip_distance,fare_amount,Es_verde,cantidad_viajes
1,2023-11-01,128078.17,543154.52,0,10488
1,2023-11-02,130560.24,554126.0,0,10632
1,2023-11-03,136688.33,583128.7,0,11299
1,2023-11-04,94270.34,392594.29,0,7511
1,2023-11-05,138749.99,568131.3,0,11068
1,2023-11-06,143468.49,602785.63,0,11711
1,2023-11-07,178595.49,516833.62,0,10304
1,2023-11-08,124386.98,532826.36,0,10413
1,2023-11-09,139302.22,598702.34,0,11563
1,2023-11-10,138385.85,584810.39,0,11274
1,2023-11-11,102606.56,422624.7,0,8107
1,2023-11-12,154804.67,630427.37,0,12197
1,2023-11-13,155934.91,647938.63,0,12574
1,2023-11-14,133520.5,557546.21,0,11013
1,2023-11-15,128870.56,548903.95,0,10730
1,2023-11-16,136624.51,578070.04,0,11226
1,2023-11-17,131891.01,562206.71,0,10632
1,2023-11-18,102243.27,421765.69,0,8253
1,2023-11-19,117336.45,482269.59,0,9631
1,2023-11-20,137964.87,482459.31,0,9530
1,2023-11-21,113005.79,482881.6,0,9376
1,2023-11-22,109225.82,461780.2,0,8929
1,2023-11-23,65478.68,264213.85,0,5267
1,2023-11-24,91189.98,371691.57,0,7701
1,2023-11-25,132843.23,535211.35,0,10641
1,2023-11-26,174229.1,710844.18,0,13819
1,2023-11-27,185535.61,764308.32,0,15172
1,2023-11-28,160916.75,677790.9,0,13218
1,2023-11-29,129132.78,556065.16,0,10818
1,2023-11-30,140443.35,609428.11,0,11695
2,2023-11-01,1208.67,7311.44,0,242
2,2023-11-02,1181.54,7381.98,0,245
2,2023-11-03,1149.91,6684.39,0,237
2,2023-11-04,624.84,4636.21,0,170
2,2023-11-05,591.26,4649.04,0,188
2,2023-11-06,1210.05,7406.58,0,239
2,2023-11-07,1373.01,7033.87,0,245
2,2023-11-08,1306.81,7353.3,0,247
2,2023-11-09,1351.83,7445.55,0,239
2,2023-11-10,1076.07,6553.68,0,205
2,2023-11-11,551.75,4132.96,0,148
2,2023-11-12,618.2,3902.49,0,129
2,2023-11-13,1191.83,6634.45,0,201
2,2023-11-14,1171.46,6217.6,0,188
2,2023-11-15,1409.94,8501.89,0,258
2,2023-11-16,1396.31,8149.66,0,277
2,2023-11-17,1563.64,9005.27,0,299
2,2023-11-18,672.73,3827.96,0,129
2,2023-11-19,433.04,2962.34,0,116
2,2023-11-20,1234.08,7402.92,0,219
2,2023-11-21,1217.19,6956.49,0,206
2,2023-11-22,1121.79,6733.62,0,209
2,2023-11-23,526.13,4950.0599999999995,0,181
2,2023-11-24,677.2,4625.15,0,172
2,2023-11-25,653.88,3874.0099999999998,0,117
2,2023-11-26,406.46999999999997,2757.74,0,127
2,2023-11-27,1143.37,5805.16,0,180
2,2023-11-28,30342.03,5952.98,0,174
2,2023-11-29,1490.36,7593.6,0,264
